"?ltimo: Tiempo (s)","?ltimo: Angulo (rad)","?ltimo: Velocidad (rad/s)","?ltimo: Aceleraci?n (rad/s?)"
0,0,0,0
0.05,0,0,0
0.1,0,0,0
0.15,0,0,-0.005386818679
0.2,0,0,-0.0646418241479
0.25,0,0,-0.447105950357
0.3,0,-0.00969627362219,-2.02005700462
0.35,0,-0.0872664625997,-6.60423970045
0.4,0,-0.455724860243,-15.8210864602
0.45,-0.0174532925199,-1.4835298642,-28.4962708119
0.5,-0.10471975512,-3.42278458863,-38.763547214
0.55,-0.349065850399,-5.67232006898,-42.825208498
0.6,-0.680678408278,-7.84428536035,-43.4393058274
0.65,-1.1344640138,-9.99685810448,-43.6009103878
0.7,-1.67551608191,-12.2076084903,-43.5416553823
0.75,-2.35619449019,-14.398966329,-42.825208498
0.8,-3.12413936107,-16.4545763369,-42.7982744046
0.85,-3.99680398707,-18.5974528074,-44.118044981
0.9,-4.97418836818,-20.9051659294,-44.7536895851
0.95,-6.09119908946,-23.1547014098,-43.9133458712
1,-7.29547627334,-25.2975778803,-42.9221712342
1.05,-8.62192650485,-27.4113655299,-42.4858389212
1.1,-10.035643199,-29.5251531796,-42.5073861959
1.15,-11.5715329407,-31.6874221973,-42.3080739048
1.2,-13.2121424376,-33.7333359316,-42.6097357508
1.25,-14.9400183971,-35.8762124021,-43.8540908657
1.3,-16.7900674042,-38.1839255242,-42.4966125586
1.35,-18.7622894589,-40.4334610045,-30.5432619099
1.4,-20.8392312688,-42.1690939829,7.93478391416
1.45,-23.0208928338,-41.858813227,94.4039973494
1.5,-25.3072741539,-34.8968887663,219.227359779
1.55,-26.9653369433,-18.6265416282,312.026085162
1.6,-27.3144027937,0.872664625997,308.761673043
1.65,-26.651177678,15.9600663821,222.410969618
1.7,-25.411993909,24.0952399511,108.323536816
1.75,-23.9633706299,25.6563400043,15.3416595978
1.8,-22.7067335684,23.5910337228,-34.0123731392
1.85,-21.6071761397,20.9342547503,-51.3633161042
1.9,-20.6123384661,18.1029428526,-56.3191892889
1.95,-19.7920337176,15.2134533132,-57.2780430138
2,-19.0939020168,12.3627488683,-57.5635444037
2.05,-18.5528499487,9.45386678164,-57.6497335026
2.1,-18.1514242207,6.59346606309,-57.4450343928
2.15,-17.8896248329,3.68458397643,-56.5131147613
2.2,-17.7849050778,0.843575805131,-53.6419404054
2.25,-17.8198116629,-1.70654415751,-50.1297346267
2.3,-17.959438003,-4.13061256305,-47.3016548203
2.35,-18.2386906833,-6.40923686427,-45.2438900849
2.4,-18.6052098263,-8.59089842926,-44.5813113874
2.45,-19.0939020168,-10.830737636,-44.6782741236
2.5,-19.6873139625,-13.0802731163,-44.435867283
2.55,-20.4028989558,-15.3104160494,-43.1861253495
2.6,-21.2232037043,-17.4435962463,-39.4799940984
2.65,-22.1482282078,-19.5185988015,-26.3146092469
2.7,-23.1779724665,-20.992432392,9.63163179804
2.75,-24.3124364803,-20.2846044176,78.2058335816
2.8,-25.4992603716,-13.5844793447,149.969032023
2.85,-25.8832328071,-2.65677897248,167.411550906
2.9,-25.6388867118,6.06986728749,123.094193634
2.95,-25.0803813512,10.5883307954,53.9382154328
3,-24.3997029429,10.8404339096,-5.41375277239
3.05,-23.9110107523,8.80421644895,-38.3703094505
3.1,-23.5095850244,6.18622257096,-51.1693906318
3.15,-23.2826922216,3.30642930517,-53.0924849002
3.2,-23.195425759,0.736916795286,-50.6630296759
3.25,-23.2128790515,-1.72593670475,-48.0127148859
3.3,-23.3699586842,-4.09182746856,-44.0318558821
3.35,-23.631758072,-6.26379275994,-35.105897331
3.4,-23.9982772149,-8.06729965366,-14.264295862
3.45,-24.469516113,-8.69755743911,25.0433200386
3.5,-25.0454747661,-5.75958653158,64.6202768732
3.55,-25.1676478138,-0.494509954732,68.6496172451
3.6,-24.9931148886,2.90888208666,35.5853241934
3.65,-24.7313155008,3.29673303154,-4.93971272864
3.7,-24.5742358681,1.50292241144,-27.3973598014
3.75,-24.5742358681,-0.552687596465,-25.1187355002
3.8,-24.6615023307,-1.82289944097,-5.72618825577
3.85,-24.8709418409,-0.969627362219,11.0860728414
3.9,-24.7836753783,0.426636039376,7.48229114512
3.95,-24.7138622082,-0.0290888208666,-1.1527791973
4,-24.8011286708,-0.358762124021,0.398624582246
4.05,-24.8011286708,0.0581776417331,2.04699109802
4.1,-24.7662220858,0.0872664625997,0.339369576777
4.15,-24.7836753783,-0.0193925472444,-0.0269340933949
4.2,-24.7836753783,0.0678739153553,-0.140057285654
4.25,-24.7662220858,0,-0.522521411863
4.3,-24.7836753783,-0.0581776417332,0.26934093395
4.35,-24.7836753783,0.0678739153553,0.339369576777
4.4,-24.7662220858,0.0193925472444,-0.312435483382
4.45,-24.7836753783,0,-0.355530032814
4.5,-24.7662220858,-0.0193925472444,-0.317822302061
4.55,-24.7836753783,-0.0678739153553,0.312435483382
4.6,-24.7836753783,0.0581776417332,0.16160456037
4.65,-24.7662220858,-0.00969627362219,-0.657191878837
4.7,-24.7836753783,-0.0872664625997,-0.172378197728
4.75,-24.7836753783,-0.0290888208666,0.371690488851
4.8,-24.7836753783,-0.00969627362219,0.296275027345
4.85,-24.7836753783,0,0.145444104333
4.9,-24.7836753783,0,0.032320912074
4.95,-24.7836753783,0,0.005386818679
5,-24.7836753783,0,0
5.05,-24.7836753783,0,0
5.1,-24.7836753783,0,0
5.15,-24.7836753783,0,0
5.2,-24.7836753783,0,0
5.25,-24.7836753783,0,0
5.3,-24.7836753783,0,0
5.35,-24.7836753783,0,0
5.4,-24.7836753783,0,0
5.45,-24.7836753783,0,0
5.5,-24.7836753783,0,0
5.55,-24.7836753783,0,0
5.6,-24.7836753783,0,0
5.65,-24.7836753783,0,0
5.7,-24.7836753783,0,0
5.75,-24.7836753783,0,0
5.8,-24.7836753783,0,0
5.85,-24.7836753783,0,0
5.9,-24.7836753783,0,0
5.95,-24.7836753783,0,0
6,-24.7836753783,0,0
