"??ltimo: Tiempo (s)","??ltimo: Angulo (rad)","??ltimo: Velocidad (rad/s)","??ltimo: Aceleraci??n (rad/s??)"
0,0,0,0.853272078753
0.05,0,0.0290888208666,1.23142675002
0.1,0,0.0814486984264,1.7905785289
0.15,0,0.261799387799,1.4565957708
0.2,0.0349065850399,0.290888208666,0.00430945494309
0.25,0.0349065850399,0.213318019688,-0.680893881025
0.3,0.0523598775598,0.184229198822,-0.791862345812
0.35,0.0523598775598,0.164836651577,-1.70223470256
0.4,0.0698131700798,0.106659009844,-5.02051500882
0.45,0.0698131700798,-0.174532925199,-12.1418893025
0.5,0.0698131700798,-0.911449720486,-23.1956412318
0.55,0.0174532925199,-2.48224604728,-34.3948372654
0.6,-0.157079632679,-4.56694487605,-41.2468706251
0.65,-0.436332312999,-6.79708780916,-43.848704047
0.7,-0.837758040957,-9.03692701588,-44.134205437
0.75,-1.34390352404,-11.2088923073,-43.983374514
0.8,-1.95476876223,-13.4293389667,-43.8379304097
0.85,-2.68780704807,-15.630393079,-43.1430308001
0.9,-3.52556508903,-17.7053956341,-43.110709888
0.95,-4.45058959259,-19.9064497464,-43.6601653933
1,-5.5152404363,-22.1172001322,-43.5524290197
1.05,-6.66715774262,-24.2600766027,-43.5901367504
1.1,-7.94124809657,-26.4223456205,-44.3981595523
1.15,-9.30260491313,-28.6912736481,-44.7105950357
1.2,-10.8035880698,-31.0668606855,-39.7924295817
1.25,-12.4267442742,-33.0933818725,-20.8038937383
1.3,-14.1197136486,-34.2957198017,28.1730616911
1.35,-15.9348560707,-32.6473532859,123.417402754
1.4,-17.7674517853,-22.9413833901,231.627816378
1.45,-18.5703032412,-6.37045176978,274.253712585
1.5,-18.3085038534,8.72664625997,226.925123671
1.55,-17.4358392274,18.2774757778,131.648461696
1.6,-16.214108751,21.5742088094,38.1925444341
1.65,-15.0970980298,20.4397447956,-21.1163292217
1.7,-14.1371669412,17.9671950219,-46.2189042658
1.75,-13.2994089002,15.194060766,-53.6796481362
1.8,-12.6187304919,12.4306227836,-54.8701350642
1.85,-12.0602251313,9.72536244306,-55.495006031
1.9,-11.6413461108,6.92313936624,-56.5723697668
1.95,-11.3620934305,4.02395355321,-56.6477852283
2,-11.2399203828,1.15385656104,-54.606180949
2.05,-11.2573736754,-1.49322613782,-51.3040610987
2.1,-11.3970000155,-3.95607963785,-48.2820558198
2.15,-11.6587994033,-6.27348903356,-46.2081306284
2.2,-12.0253185462,-8.54241706115,-44.9206809641
